"name","type","dod_aggregate","agency_subelement","employment"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE PROGRAM EXECUTIVE OFFICE","19"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","HQ NORAD","57"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE SUPPLY CENTER","73"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE MORALE, WELFARE AND RECREATION CENTER","164"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","11TH WING","1"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","HQ AIR FORCE MEDICAL OPERATIONS AGENCY","120"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5)","676"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND","219"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND","829"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND","145"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND","1062"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND","470"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE ELEMENTS, OTHER THAN EUROPE","473"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE","487"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND","539"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE DISTRICT OF WASHINGTON","1353"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE FINANCIAL SERVICES","69"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE PETROLEUM AGENCY","45"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR FORCE GLOBAL STRIKE COMMAND","649"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","AIR NATIONAL GUARD UNITS (TITLE 32)","22575"
"DEPARTMENT OF THE AIR FORCE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)","285"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","UNSPECIFIED","3"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY CENTRAL","297"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY NORTH","328"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U. S. ARMY ACCESSION COMMAND","407"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY CONTRACTING AGENCY","6"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY ACQUISITION SUPPORT CENTER","4570"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U. S. MILITARY ENTRANCE PROCESSING COMMAND","267"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY INTELLIGENCE AND SECURITY COMMAND","2364"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY TEST AND EVALUATION COMMAND","4473"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY INSTALLATION MANAGEMENT COMMAND","37287"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY CRIMINAL INVESTIGATION COMMAND","709"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY CORPS OF ENGINEERS","36797"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY","1715"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","IMMEDIATE OFFICE OF THE COMMANDER","1152"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","21ST THEATER ARMY AREA COMMAND","340"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY V CORPS","31"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","SEVENTH ARMY TRAINING COMMAND","308"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY FORCES COMMAND","3493"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND","4105"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU","413"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY RESERVE COMMAND","8485"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY ELEMENT SHAPE","177"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","JOINT ACTIVITIES","1997"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. MILITARY ACADEMY","764"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY MEDICAL COMMAND","40154"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY MILITARY DISTRICT OF WASHINGTON","419"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","ARMY NATIONAL GUARD UNITS (TITLE 32)","30451"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY, PACIFIC","803"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","EIGHTH U.S. ARMY","664"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","OFFICE OF THE SECRETARY OF THE ARMY","1091"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY","3178"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND","920"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES","6730"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","MISCELLANEOUS FIELD OPERATING AGENCIES","43"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY","1293"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY SOUTH","287"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. SPECIAL OPERATIONS COMMAND (ARMY)","1691"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY ACCESSIONS COMMAND","2561"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY TRAINING AND DOCTRINE COMMAND","13327"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. MILITARY ENTRANCE PROCESSING COMMAND","1905"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY WAR COLLEGE","383"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","HEADQUARTERS, AMC","700"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","TRAINING ACTIVITIES, AMC","180"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY AVIATION AND MISSILE COMMAND","9085"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY TANK","15444"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND","8482"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY CHEMICAL MATERIALS AGENCY","1432"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY SUSTAINMENT COMMAND","1203"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U. S. ARMY CONTRACTING COMMAND","5098"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","MATERIEL ACQUISITION ACTIVITIES","123"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY SECURITY ASSISTANCE COMMAND","460"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY JOINT MUNITIONS COMMAND","6519"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND","15137"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND","1312"
"DEPARTMENT OF THE ARMY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","MATERIEL READINESS ACTIVITIES","339"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","OFFICE OF THE SECRETARY OF DEFENSE","1830"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","ORGANIZATION OF THE JOINT CHIEFS OF STAFF","224"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE INFORMATION SYSTEMS AGENCY","5611"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE SECURITY COOPERATION AGENCY","542"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE LOGISTICS AGENCY","25105"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. COURT OF APPEALS FOR THE ARMED FORCES","60"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE CONTRACT AUDIT AGENCY","4332"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE SECURITY SERVICE","754"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY","159"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEPARTMENT OF DEFENSE EDUCATION ACTIVITY","15629"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","WASHINGTON HEADQUARTERS SERVICES","1481"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","OFFICE OF LOCAL DEFENSE COMMUNITY COOPERATION","38"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE LEGAL SERVICES AGENCY","256"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","OFFICE OF THE INSPECTOR GENERAL","1606"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","MISSILE DEFENSE AGENCY","1520"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE TECHNOLOGY SECURITY ADMINISTRATION","130"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE COMMISSARY AGENCY","15793"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE FINANCE AND ACCOUNTING SERVICE","12247"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE HUMAN RESOURCES ACTIVITY","1081"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE PRISONER OF WAR/MISSING PERSONNEL OFFICE","64"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","TRICARE MANAGEMENT ACTIVITY","1464"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE THREAT REDUCTION AGENCY","1230"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE CONTRACT MANAGEMENT AGENCY","10160"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","PENTAGON FORCE PROTECTION AGENCY","1163"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEPARTMENT OF DEFENSE TEST RESOURCE MANAGEMENT CENTER","27"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NATIONAL DEFENSE UNIVERSITY","572"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE TECHNICAL INFORMATION CENTER","286"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","BUSINESS TRANSFORMATION AGENCY","329"
"DEPARTMENT OF DEFENSE","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","DEFENSE MEDIA ACTIVITY","538"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","IMMEDIATE OFFICE OF THE CHIEF OF NAVAL OPERATIONS","4976"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","ASSISTANT FOR ADMINISTRATION, UNDER SECRETARY OF THE NAVY","4947"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","OFFICE OF NAVAL RESEARCH","2965"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVAL INTELLIGENCE COMMAND","1720"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVAL MEDICAL COMMAND","12637"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVAL AIR SYSTEMS COMMAND","23770"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","BUREAU OF NAVAL PERSONNEL","1700"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVAL SUPPLY SYSTEMS COMMAND","6690"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVAL SEA SYSTEMS COMMAND","25011"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVAL FACILITIES ENGINEERING COMMAND","15453"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. MARINE CORPS","19199"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","STRATEGIC SYSTEMS PROGRAMS OFFICE","960"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","MILITARY SEALIFT COMMAND","6084"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","SPACE AND NAVAL WARFARE SYSTEMS COMMAND","8128"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVY SYSTEMS MANAGEMENT ACTIVITY","560"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","COMMANDER, NAVY INSTALLATIONS","14259"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. ATLANTIC FLEET, COMMANDER IN CHIEF","18652"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","U.S. PACIFIC FLEET, COMMANDER IN CHIEF","17231"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVAL RESERVE FORCE","467"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVAL SPECIAL WARFARE COMMAND","1058"
"DEPARTMENT OF THE NAVY","Cabinet Level Agencies","D+-DEPARTMENT OF DEFENSE","NAVAL EDUCATION AND TRAINING COMMAND","4287"
"DEPARTMENT OF AGRICULTURE","Cabinet Level Agencies","null","OFFICE OF THE SECRETARY OF AGRICULTURE","102"
"DEPARTMENT OF AGRICULTURE","Cabinet Level Agencies","null","AGRICULTURAL MARKETING SERVICE","4404"
"DEPARTMENT OF AGRICULTURE","Cabinet Level Agencies","null","AGRICULTURAL RESEARCH SERVICE","8903"
"DEPARTMENT OF AGRICULTURE","Cabinet Level Agencies","null","RURAL HOUSING SERVICE","5647"
"DEPARTMENT OF AGRICULTURE","Cabinet Level Agencies","null","RISK MANAGEMENT AGENCY","508"
